DateTime_Full,DateTime_Short,Level1,Level2,Level3,FlowIn,FlowOut,Storage,Release,Spillway,Gate
11/7/2025 20:00,7/11/2025 20:00,428.98,429,427,58.32,58,10,48,0,1
11/7/2025 21:00,7/11/2025 21:00,428.98,429,427,58.67,58,10,48,0,1
11/7/2025 22:00,7/11/2025 22:00,428.98,429,427,60.14,58,10,48,0,1
11/7/2025 23:00,7/11/2025 23:00,428.98,429,427,59.83,56.02,10,46.02,0,1
11/8/2025 0:00,8/11/2025 0:00,428.98,429,427,60.29,51.04,10,41.04,0,1
11/8/2025 1:00,8/11/2025 1:00,428.99,429,427,63.71,50.5,10,40.5,0,1
11/8/2025 2:00,8/11/2025 2:00,428.99,429,427,58.49,50.5,10,40.5,0,1
11/8/2025 3:00,8/11/2025 3:00,428.99,429,427,54.62,50.5,10,40.5,0,1
11/8/2025 4:00,8/11/2025 4:00,428.99,429,427,55.17,50.5,10,40.5,0,1
11/8/2025 5:00,8/11/2025 5:00,428.99,429,427,53.49,50.5,10,40.5,0,1
11/8/2025 6:00,8/11/2025 6:00,428.98,429,427,46.58,50.5,10,40.5,0,1
11/8/2025 7:00,8/11/2025 7:00,428.98,429,427,49.4,50.5,10,40.5,0,1
11/8/2025 8:00,8/11/2025 8:00,428.98,429,427,57.32,57.25,10,47.25,0,1
11/8/2025 9:00,8/11/2025 9:00,428.98,429,427,59.16,57.46,10,47.46,0,1
11/8/2025 10:00,8/11/2025 10:00,428.98,429,427,55.74,52.51,10,42.51,0,1
11/8/2025 11:00,8/11/2025 11:00,428.98,429,427,53.28,50.5,10,40.5,0,1
11/8/2025 12:00,8/11/2025 12:00,428.98,429,427,50.96,40.1,10,30.1,0,1
11/8/2025 13:00,8/11/2025 13:00,428.98,429,427,54.47,49.2,10,39.2,0,1
11/8/2025 14:00,8/11/2025 14:00,428.97,429,427,46.29,50,4,46,0,1
11/8/2025 15:00,8/11/2025 15:00,428.97,429,427,52.38,52,4,48,0,1
11/8/2025 16:00,8/11/2025 16:00,428.97,429,427,51.72,36.8,4,32.8,0,1
11/8/2025 17:00,8/11/2025 17:00,428.97,429,427,38.26,28,4,24,0,1
11/8/2025 18:00,8/11/2025 18:00,428.97,429,427,43.6,34.3,4,30.3,0,1
11/8/2025 19:00,8/11/2025 19:00,428.97,429,427,49.17,51.55,4,47.55,0,1
11/8/2025 20:00,8/11/2025 20:00,428.96,429,427,46.82,52,4,48,0,1
11/8/2025 21:00,8/11/2025 21:00,428.96,429,427,51.79,52,4,48,0,1
11/8/2025 22:00,8/11/2025 22:00,428.96,429,427,53.34,52,4,48,0,1
11/8/2025 23:00,8/11/2025 23:00,428.97,429,427,59.62,52,4,48,0,1
11/9/2025 0:00,8/11/2025 23:00,428.97,429,427,59.62,52,4,48,0,1
11/9/2025 1:00,9/11/2025 1:00,428.96,429,427,35.49,4,4,0,0,1
11/9/2025 2:00,9/11/2025 2:00,428.97,429,427,27.62,4,4,0,0,1
11/9/2025 3:00,9/11/2025 3:00,428.97,429,427,6.84,4,4,0,0,1
11/9/2025 4:00,9/11/2025 4:00,428.97,429,427,7.29,4,4,0,0,1
11/9/2025 5:00,9/11/2025 5:00,428.97,429,427,6.54,4,4,0,0,1
11/9/2025 6:00,9/11/2025 6:00,428.97,429,427,7.18,4,4,0,0,1
11/9/2025 7:00,9/11/2025 7:00,428.99,429,427,43.87,4,4,0,0,1
11/9/2025 8:00,9/11/2025 8:00,428.99,429,427,36.74,4,4,0,0,1
11/9/2025 9:00,9/11/2025 9:00,428.99,429,427,8.25,4,4,0,0,1
11/9/2025 10:00,9/11/2025 10:00,428.97,429,427,8.39,4,4,0,0,1
11/9/2025 11:00,9/11/2025 11:00,428.99,429,427,14.86,4,4,0,0,1
11/9/2025 12:00,9/11/2025 12:00,428.99,429,427,10.89,4,4,0,0,1
11/9/2025 13:00,9/11/2025 13:00,428.99,429,427,9.63,4,4,0,0,1
11/9/2025 14:00,9/11/2025 14:00,428.99,429,427,8.58,4,4,0,0,1
11/9/2025 15:00,9/11/2025 15:00,428.99,429,427,8.42,4,4,0,0,1
11/9/2025 16:00,9/11/2025 16:00,428.99,429,427,9.07,4,4,0,0,1
11/9/2025 17:00,9/11/2025 17:00,428.97,429,427,10.78,28,4,24,0,1
11/9/2025 18:00,9/11/2025 18:00,428.95,429,427,24.15,52,4,48,0,1
11/9/2025 19:00,9/11/2025 19:00,428.93,429,427,34.78,52,4,48,0,1
11/9/2025 20:00,9/11/2025 20:00,428.92,429,427,32.96,49.55,4,45.55,0,1
11/9/2025 21:00,9/11/2025 21:00,428.91,429,427,10.85,5.4,4,1.4,0,1
11/9/2025 22:00,9/11/2025 22:00,428.91,429,427,10.49,4,4,0,0,1
11/9/2025 23:00,9/11/2025 23:00,428.92,429,427,20.61,4,4,0,0,1
11/10/2025 0:00,10/11/2025 0:00,428.94,429,427,35.58,4,4,0,0,1
11/10/2025 1:00,10/11/2025 1:00,428.96,429,427,35.49,4,4,0,0,1
11/10/2025 2:00,10/11/2025 2:00,428.97,429,427,27.62,4,4,0,0,1
11/10/2025 3:00,10/11/2025 3:00,428.97,429,427,6.84,4,4,0,0,1
11/10/2025 4:00,10/11/2025 4:00,428.97,429,427,7.29,4,4,0,0,1
11/10/2025 5:00,10/11/2025 5:00,428.97,429,427,6.54,4,4,0,0,1
11/10/2025 6:00,10/11/2025 6:00,428.97,429,427,7.18,4,4,0,0,1
11/10/2025 7:00,10/11/2025 7:00,428.97,429,427,6.92,4,4,0,0,1
11/10/2025 8:00,10/11/2025 8:00,428.97,429,427,7.63,4,4,0,0,1
11/10/2025 9:00,10/11/2025 9:00,428.97,429,427,8.25,4,4,0,0,1
11/10/2025 10:00,10/11/2025 10:00,428.97,429,427,8.39,4,4,0,0,1
11/10/2025 11:00,10/11/2025 11:00,428.97,429,427,7.86,4,4,0,0,1
11/10/2025 12:00,10/11/2025 12:00,428.97,429,427,7.69,4,4,0,0,1
11/10/2025 13:00,10/11/2025 13:00,428.98,429,427,8.12,4,4,0,0,1
11/10/2025 14:00,10/11/2025 14:00,428.98,429,427,8.35,4,4,0,0,1
11/10/2025 15:00,10/11/2025 15:00,428.98,429,427,8.54,4,4,0,0,1
11/10/2025 16:00,10/11/2025 16:00,428.97,429,427,14.22,25.45,4,21.45,0,1
11/10/2025 17:00,10/11/2025 17:00,428.95,429,427,26.89,50.15,4,46.15,0,1
11/10/2025 18:00,10/11/2025 18:00,428.93,429,427,31.56,48.9,4,44.9,0,1
11/10/2025 19:00,10/11/2025 19:00,428.92,429,427,38.47,46,4,42,0,1
11/10/2025 20:00,10/11/2025 20:00,428.93,429,427,32.46,11,4,7,0,1
11/10/2025 21:00,10/11/2025 21:00,428.93,429,427,28.87,21.5,4,17.5,0,1
11/10/2025 22:00,10/11/2025 22:00,428.94,429,427,24.98,4,4,0,0,1
11/10/2025 23:00,10/11/2025 23:00,428.95,429,427,32.48,4,4,0,0,1
11/11/2025 0:00,11/11/2025 0:00,428.96,429,427,34.17,4,4,0,0,1
11/11/2025 1:00,11/11/2025 1:00,428.97,429,427,30.12,4,4,0,0,1
11/11/2025 2:00,11/11/2025 2:00,428.97,429,427,18.17,4,4,0,0,1
11/11/2025 3:00,11/11/2025 3:00,428.97,429,427,10.62,4,4,0,0,1
11/11/2025 4:00,11/11/2025 4:00,428.97,429,427,8.51,4,4,0,0,1
11/11/2025 5:00,11/11/2025 5:00,428.97,429,427,7.85,4,4,0,0,1
11/11/2025 6:00,11/11/2025 6:00,428.97,429,427,7.63,4,4,0,0,1
11/11/2025 7:00,11/11/2025 7:00,428.95,429,427,16.79,43.15,4,39.15,0,1
11/11/2025 8:00,11/11/2025 8:00,428.93,429,427,17.28,30.02,4,26.02,0,1
11/11/2025 9:00,11/11/2025 9:00,428.94,429,427,16.67,4,4,0,0,1
11/11/2025 10:00,11/11/2025 10:00,428.95,429,427,12.61,4,4,0,0,1
11/11/2025 11:00,11/11/2025 11:00,428.96,429,427,10.05,4,4,0,0,1
11/11/2025 12:00,11/11/2025 12:00,428.96,429,427,8.48,4,4,0,0,1
11/11/2025 13:00,11/11/2025 13:00,428.96,429,427,9.12,4,4,0,0,1
11/11/2025 14:00,11/11/2025 14:00,428.97,429,427,9.39,4,4,0,0,1
11/11/2025 15:00,11/11/2025 15:00,428.95,429,427,18.06,45.3,4,41.3,0,1
11/11/2025 16:00,11/11/2025 16:00,428.93,429,427,24.87,47.95,4,43.95,0,1
11/11/2025 17:00,11/11/2025 17:00,428.91,429,427,30.64,52,4,48,0,1
11/11/2025 18:00,11/11/2025 18:00,428.9,429,427,37.18,52,4,48,0,1
11/11/2025 19:00,11/11/2025 19:00,428.89,429,427,39.33,46.3,4,42.3,0,1
11/11/2025 20:00,11/11/2025 20:00,428.88,429,427,37.39,46,4,42,0,1
11/11/2025 21:00,11/11/2025 21:00,428.87,429,427,42.14,50.75,4,46.75,0,1
11/11/2025 22:00,11/11/2025 22:00,428.87,429,427,42.87,46,4,42,0,1
11/11/2025 23:00,11/11/2025 23:00,428.88,429,427,46.21,37.6,4,33.6,0,1
11/12/2025 0:00,12/11/2025 0:00,428.9,429,427,41.78,5.4,4,1.4,0,1
11/12/2025 1:00,12/11/2025 1:00,428.93,429,427,40.38,4,4,0,0,1
11/12/2025 2:00,12/11/2025 2:00,428.94,429,427,16.44,4,4,0,0,1
11/12/2025 3:00,12/11/2025 3:00,428.95,429,427,13.17,4,4,0,0,1
11/12/2025 4:00,12/11/2025 4:00,428.95,429,427,12.45,4,4,0,0,1
11/12/2025 5:00,12/11/2025 5:00,428.96,429,427,11.93,4,4,0,0,1
11/12/2025 6:00,12/11/2025 6:00,428.96,429,427,10.88,4,4,0,0,1
11/12/2025 7:00,12/11/2025 7:00,428.97,429,427,12.61,4,4,0,0,1
11/12/2025 8:00,12/11/2025 8:00,428.97,429,427,12.68,4,4,0,0,1
11/12/2025 9:00,12/11/2025 9:00,428.96,429,427,16.79,38.3,4,34.3,0,1
11/12/2025 10:00,12/11/2025 10:00,428.96,429,427,14.22,7.05,4,3.05,0,1
11/12/2025 11:00,12/11/2025 11:00,428.96,429,427,12.05,4,4,0,0,1
